"% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""TARGET_DATA    TempCtrl:TempStatus.SetTemp[1]"" XUNIT=""UnitX"" YUNIT=""UnitY"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" ROWS=3000 COLS=2 COLSEP=""COMMA"" ",,,,,,,,,,,,,,,,,
"% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""TARGET_DATA    TempCtrl:TempStatus.CoolOn[1]"" XUNIT=""UnitX"" YUNIT=""UnitY"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" ROWS=3000 COLS=2 COLSEP=""COMMA"" ",,,,,,,,,,,,,,,,,
"% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""TARGET_DATA    TempCtrl:TempStatus.HeatOn[1]"" XUNIT=""UnitX"" YUNIT=""UnitY"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" ROWS=3000 COLS=2 COLSEP=""COMMA"" ",,,,,,,,,,,,,,,,,
"% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""TARGET_DATA    TempCtrl:TempStatus.CurrentTemp[0]"" XUNIT=""UnitX"" YUNIT=""UnitY"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" ROWS=3000 COLS=2 COLSEP=""COMMA"" ",,,,,,,,,,,,,,,,,
"% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""TARGET_DATA    TempCtrl:TempStatus.CurrentTemp[1]"" XUNIT=""UnitX"" YUNIT=""UnitY"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" ROWS=3000 COLS=2 COLSEP=""COMMA"" ",,,,,,,,,,,,,,,,,
"% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""TARGET_DATA    TempCtrl:TempStatus.CurrentTemp[2]"" XUNIT=""UnitX"" YUNIT=""UnitY"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" ROWS=3000 COLS=2 COLSEP=""COMMA"" ",,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,27,0,27,0,25,,,,,,
0.199995,0,0.199995,0,0.199995,0,0.199995,27,0.199995,27,0.199995,25,,,,,,
0.399994,0,0.399994,0,0.399994,0,0.399994,27,0.399994,27,0.399994,25,,,,,,
0.599998,0,0.599998,0,0.599998,0,0.599998,27,0.599998,27,0.599998,25,,,,,,
0.799997,80,0.799997,0,0.799997,1,0.799997,27,0.799997,27,0.799997,25,,,,,,
0.999994,80,0.999994,0,0.999994,1,0.999994,27,0.999994,27,0.999994,25,,,,,,
1.199993,80,1.199993,0,1.199993,1,1.199993,27,1.199993,27,1.199993,25,,,,,,
1.399994,80,1.399994,0,1.399994,1,1.399994,27,1.399994,27,1.399994,25,,,,,,
1.599997,80,1.599997,0,1.599997,1,1.599997,27,1.599997,27,1.599997,25,,,,,,
1.799995,80,1.799995,0,1.799995,1,1.799995,27,1.799995,27,1.799995,25,,,,,,1644
1.999994,80,1.999994,0,1.999994,1,1.999994,27,1.999994,27,1.999994,25,,,,,,2288
2.199993,80,2.199993,0,2.199993,1,2.199993,27,2.199993,27,2.199993,25,,,,,,
2.399993,80,2.399993,0,2.399993,1,2.399993,27,2.399993,27,2.399993,25,,,,,,
2.600013,80,2.600013,0,2.600013,1,2.600013,27,2.600013,27,2.600013,25,,,,,,41.81078332
2.799996,80,2.799996,0,2.799996,1,2.799996,27,2.799996,27,2.799996,25,,,,,,
2.999994,80,2.999994,0,2.999994,1,2.999994,27,2.999994,27,2.999994,25,,,,,,
3.200005,80,3.200005,0,3.200005,1,3.200005,27,3.200005,27,3.200005,25,,,,,,
3.399995,80,3.399995,0,3.399995,1,3.399995,27,3.399995,27,3.399995,25,,,,,,
3.599997,80,3.599997,0,3.599997,1,3.599997,27,3.599997,27,3.599997,25,,,,,,
3.799997,80,3.799997,0,3.799997,1,3.799997,27,3.799997,27,3.799997,25,,,,,,
3.999995,80,3.999995,0,3.999995,1,3.999995,27,3.999995,27,3.999995,25,,,,,,
4.199995,80,4.199995,0,4.199995,1,4.199995,27,4.199995,27,4.199995,25,,,,,,
4.400007,80,4.400007,0,4.400007,1,4.400007,27,4.400007,27,4.400007,25,,,,,,
4.599995,80,4.599995,0,4.599995,1,4.599995,27,4.599995,27,4.599995,25,,,,,,
4.799996,80,4.799996,0,4.799996,1,4.799996,27,4.799996,27,4.799996,25,,,,,,
4.999994,80,4.999994,0,4.999994,1,4.999994,27,4.999994,27,4.999994,25,,,,,,
5.199993,80,5.199993,0,5.199993,1,5.199993,27,5.199993,27,5.199993,25,,,,,,
5.399993,80,5.399993,0,5.399993,1,5.399993,27,5.399993,27,5.399993,25,,,,,,
5.599996,80,5.599996,0,5.599996,1,5.599996,27,5.599996,27,5.599996,25,,,,,,
5.799996,80,5.799996,0,5.799996,1,5.799996,27,5.799996,27,5.799996,25,,,,,,
5.999995,80,5.999995,0,5.999995,1,5.999995,27,5.999995,27,5.999995,25,,,,,,
6.199995,80,6.199995,0,6.199995,1,6.199995,27,6.199995,27,6.199995,25,,,,,,
6.399996,80,6.399996,0,6.399996,1,6.399996,27,6.399996,27,6.399996,25,,,,,,
6.599997,80,6.599997,0,6.599997,1,6.599997,27,6.599997,27,6.599997,25,,,,,,
6.799996,80,6.799996,0,6.799996,1,6.799996,27,6.799996,27,6.799996,25,,,,,,
6.999995,80,6.999995,0,6.999995,1,6.999995,27,6.999995,27,6.999995,25,,,,,,
7.199994,80,7.199994,0,7.199994,1,7.199994,27,7.199994,27,7.199994,25,,,,,,
